id,screen_area(sq),default_ABC_off(nits),default_100/140(nits),default_35/50(nits),default_12/17(nits),defualt_3/4(nits),default_low_backlight(nits),default_mid_backlight(nits),brightest_ABC_off(nits),brightest_100/140(nits),brightest_35/50(nits),brightest_12/17(nits),brightest_3/4(nits),brightest_low_backlight(nits),brightest_mid_backlight(nits),hdr10_ABC_off(nits),hdr10_100/140(nits),hdr10_35/50(nits),hdr10_12/17(nits),hdr10_3/4(nits),hdr10_low_backlight(nits),hdr10_mid_backlight(nits),default_ABC_off(watts),default_100/140(watts),default_35/50(watts),default_12/17(watts),defualt_3/4(watts),default_low_backlight(watts),default_mid_backlight(watts),brightest_ABC_off(watts),brightest_100/140(watts),brightest_35/50(watts),brightest_12/17(watts),brightest_3/4(watts),brightest_low_backlight(watts),brightest_mid_backlight(watts),hdr10_ABC_off(watts),hdr10_100/140(watts),hdr10_35/50(watts),hdr10_12/17(watts),hdr10_3/4(watts),hdr10_low_backlight(watts),hdr10_mid_backlight(watts),default_a1,default_a2,default_b,brightest_a1,brightest_a2,brightest_b,hdr_a1,hdr_a2,hdr_b
1.0,1065.75,72.53988546,72.69469069,55.36460984,40.18710293,34.03616688,nan,nan,85.33557382,nan,nan,nan,nan,7.360985393,nan,24.7403408,24.67829281,18.92531848,13.58669351,11.39734562,nan,nan,124.803275,124.872725,100.7564222,80.11788611,72.00468333,nan,nan,148.3876528,nan,nan,nan,nan,36.73333611,nan,111.93695,112.1520333,91.42045,72.66850555,65.04140555,nan,nan,0.001266386,1.234999978,28.4798401,0.0,1.431932107,26.19290479,0.004465685,3.369361633,26.06132402
2.0,1785.9375,40.01108225,nan,nan,nan,nan,17.56487594,nan,50.0320156,nan,nan,nan,nan,17.91892034,nan,18.3294653,nan,nan,nan,nan,6.207714707,nan,110.4255417,nan,nan,nan,nan,59.11427778,nan,135.412175,nan,nan,nan,nan,59.06478333,nan,135.8105333,nan,nan,nan,nan,59.69285556,nan,0.0,2.285965975,18.96156902,0.0,2.377453529,16.46338295,0,6.279429458,20.71194896
3.0,1048.8125,53.33875856,nan,nan,nan,nan,3.327350579,nan,47.24498376,nan,nan,nan,nan,2.742276403,nan,20.96693949,nan,nan,nan,nan,1.106732519,nan,96.58459444,nan,nan,nan,nan,30.95246111,nan,96.70854167,nan,nan,nan,nan,30.18866667,nan,94.18564444,nan,nan,nan,nan,27.95809445,nan,0.0,1.312343243,26.58583506,0.0,1.494737713,26.08968271,0,3.334685791,24.26748924
4.0,1270.625,57.32347098,nan,nan,nan,nan,3.396983427,nan,50.23860587,nan,nan,nan,nan,2.77138989,nan,22.54389968,nan,nan,nan,nan,0.93024586,nan,104.5307944,nan,nan,nan,nan,26.013,nan,104.0553611,nan,nan,nan,nan,24.509125,nan,105.6817222,nan,nan,nan,nan,26.00991667,nan,0.0,1.456015365,21.06693994,0.0,1.675814232,19.86479038,0,3.686179403,22.58086354
5.0,1024.8,60.21623564,30.4261367,22.44024618,20.8924929,20.89505973,nan,nan,64.84037057,nan,nan,nan,nan,3.124936068,nan,27.47491349,nan,nan,nan,nan,1.431508127,nan,93.71085833,58.17508333,48.95255,47.134375,47.21735833,nan,nan,104.3449722,nan,nan,nan,nan,27.20946389,nan,101.5502833,nan,nan,nan,nan,24.88658333,nan,0.0009926,1.102876005,23.70061771,0.0,1.249857656,23.30373862,0,2.943689541,20.67266783
6.0,1047.0,72.50343825,53.05059388,29.08495809,26.90738993,25.58250644,nan,nan,76.94426873,nan,nan,nan,nan,5.30576907,nan,33.49152339,nan,nan,nan,nan,1.814882673,nan,92.52142222,72.13013333,48.86095417,46.7646,45.53475833,nan,nan,92.50985833,nan,nan,nan,nan,26.10985,nan,90.11068889,nan,nan,nan,nan,22.65458889,nan,0.001696047,0.834409661,23.1039669,0.0,0.926876032,21.19205982,0,2.129521896,18.7897565
7.0,1785.9375,82.36144888,65.9,34.8,27.8,27.9,nan,nan,87.42423762,nan,nan,nan,nan,4.206921647,nan,38.69530979,nan,nan,nan,nan,1.8949515,nan,140.1427722,119.1,74.6,65.4,65.4,nan,nan,163.5987222,nan,nan,nan,nan,35.92114167,nan,161.509,nan,nan,nan,nan,33.23653333,nan,-0.001767949,1.573813547,22.68618901,0.0,1.534266986,29.46660068,0,3.485630919,26.63143179
8.0,777.0,58.91588772,58.66835168,32.81367141,22.77588093,20.51264814,nan,nan,58.85385349,58.66835168,32.81367141,22.77588093,20.51264814,nan,nan,29.78725218,nan,nan,nan,nan,1.027982293,nan,66.52426389,66.46085834,46.33341945,39.00061111,37.35794167,nan,nan,66.52426389,66.46085834,46.33341945,39.00061111,37.35794167,nan,nan,67.04831111,nan,nan,nan,nan,24.35697778,nan,0.001211162,0.664828092,23.21881416,0.001241274,0.663084723,23.24261377,0,1.484437314,22.83100251
9.0,1785.9375,64.31496345,45.61552941,25.19094496,23.30288976,22.05121477,nan,nan,67.69408216,nan,nan,nan,nan,3.131836858,nan,31.16437551,nan,nan,nan,nan,1.3677395,nan,146.8165,111.8767167,74.38777222,71.04965,68.81790556,nan,nan,147.9608611,nan,nan,nan,nan,35.38842778,nan,147.69215,nan,nan,nan,nan,35.42645,nan,0.000977864,1.7621704,29.4426571,0.0,1.743626369,29.92767445,0,3.767730692,30.27317591
10.0,2372.5,58.75358212,58.93102188,34.49359012,21.76179484,19.53858706,nan,nan,64.19934814,nan,nan,nan,nan,2.254415268,nan,27.17716171,nan,nan,nan,nan,0.492461313,nan,169.9903611,171.4194167,108.6838583,77.7711,72.43950556,nan,nan,170.55225,nan,nan,nan,nan,29.42547222,nan,169.3221111,nan,nan,nan,nan,28.64846667,nan,0.003193742,2.249417284,27.28847207,0.0,2.278261857,24.28932391,0,5.271696603,26.05236003
